suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
ARTARMON,2020-10-01,1,-4.90654205607477,12.869198312236296,5.421686746987953,-5.446974692422236,-8.832699576705044
ARTARMON,2020-10-01,2,14.250614250614246,12.869198312236296,5.421686746987953,3.8753301401743636,5.6829672183803
ARTARMON,2020-10-01,3,-10.537634408602148,12.869198312236296,5.421686746987953,-3.1319889199821165,1.4619769452630482
ARTARMON,2020-10-01,4,51.20192307692308,12.869198312236296,5.421686746987953,1.9938578960634992,6.774631299820225
ARTARMON,2021-07-01,1,51.20192307692308,-10.537634408602148,12.869198312236296,6.236439614805082,6.825652774291484
ARTARMON,2021-07-01,2,-27.027027027027028,-10.537634408602148,12.869198312236296,-3.1513590677218715,-5.823192719729281
ARTARMON,2021-07-01,3,-8.496732026143794,-10.537634408602148,12.869198312236296,3.258273778498595,11.053936310455999
ARTARMON,2021-07-01,4,-7.023809523809521,-10.537634408602148,12.869198312236296,-2.1497301581962045,1.1856834772035256
ARTARMON,2022-04-01,1,-7.023809523809521,-8.496732026143794,-10.537634408602148,0.7968777959195451,0.6937233798227425
ARTARMON,2022-04-01,2,2.94494238156211,-8.496732026143794,-10.537634408602148,22.16238081524596,12.144978434187959
ARTARMON,2022-04-01,3,-2.487562189054726,-8.496732026143794,-10.537634408602148,-11.124932831680912,-6.507018543725357
ARTARMON,2022-04-01,4,14.79591836734695,-8.496732026143794,-10.537634408602148,-3.518019629329484,11.171715786711465
ARTARMON,2023-01-01,1,14.79591836734695,-2.487562189054726,-8.496732026143794,-0.47743376121136943,9.990517742292543
ARTARMON,2023-01-01,2,11.111111111111116,-2.487562189054726,-8.496732026143794,-0.6370803276773029,-0.26588667197016314
ARTARMON,2023-01-01,3,-15.000000000000002,-2.487562189054726,-8.496732026143794,0.27581619608548685,7.980168695175981
ARTARMON,2023-01-01,4,3.4352941176470697,-2.487562189054726,-8.496732026143794,-0.21718376752629517,-4.2797036966714685
ARTARMON,2023-10-01,1,3.4352941176470697,-15.000000000000002,-2.487562189054726,7.7610558769065285,-4.844625246953031
ARTARMON,2023-10-01,2,-3.5486806187443154,-15.000000000000002,-2.487562189054726,-4.56391435263257,0.7208730465400652
ARTARMON,2023-10-01,3,13.207547169811315,-15.000000000000002,-2.487562189054726,2.005982005567839,-3.8857853191569465
ARTARMON,2023-10-01,4,15.575000000000006,-15.000000000000002,-2.487562189054726,-0.8686255535064975,14.677896922644747
ARTARMON,2024-07-01,1,15.575000000000006,13.207547169811315,-15.000000000000002,-6.594030288043186,16.041613646180117
ARTARMON,2024-07-01,2,-2.6606099935107097,13.207547169811315,-15.000000000000002,3.512881005571899,-11.410408993574789
ARTARMON,2024-07-01,3,-6.296296296296299,13.207547169811315,-15.000000000000002,-1.9267277629871538,4.659663992088996
ARTARMON,2024-07-01,4,-12.252964426877464,13.207547169811315,-15.000000000000002,1.193499273726055,1.5091713913063156
ARTARMON,2025-04-01,1,-12.252964426877464,-6.296296296296299,13.207547169811315,0.6240943958718483,1.4016992674903435
ARTARMON,2025-04-01,2,8.108108108108114,-6.296296296296299,13.207547169811315,-2.080093366410449,12.10144135892874
ARTARMON,2025-04-01,3,-1.624999999999999,-6.296296296296299,13.207547169811315,1.036118197992102,-7.332878490058718
