suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
GREGORY HILLS,sydney,40,2,-1.1566771819137789,10.176470588235295,17.08860759493671,-0.2023156925803243
GREGORY HILLS,sydney,40,3,4.255319148936176,10.176470588235295,17.08860759493671,-0.05888482010016551
GREGORY HILLS,sydney,40,4,2.8061224489795977,10.176470588235295,17.08860759493671,0.034743946124709296
GREGORY HILLS,sydney,44,1,2.2332506203474045,2.8061224489795977,1.5483182060864964,-0.5599124458118735
GREGORY HILLS,sydney,44,2,-1.941747572815533,2.8061224489795977,1.5483182060864964,-0.11570019968187312
GREGORY HILLS,sydney,44,3,3.960396039603964,2.8061224489795977,1.5483182060864964,0.07591080740347975
GREGORY HILLS,sydney,44,4,-0.9047619047619082,2.8061224489795977,1.5483182060864964,0.057159928431707994
GRENFELL,rest_nsw,28,1,3.333333333333344,10.09174311926606,7.14285714285714,0.2476453993774356
GRENFELL,rest_nsw,28,2,25.806451612903224,10.09174311926606,7.14285714285714,0.057828578852310374
GRENFELL,rest_nsw,28,3,-7.051282051282048,10.09174311926606,7.14285714285714,-0.2228684565319472
GRENFELL,rest_nsw,28,4,-19.310344827586214,10.09174311926606,7.14285714285714,0.08035666551131511
GRETA,rest_nsw,28,1,5.773469387755092,48.48484848484848,-8.403361344537819,10.560504964398008
GRETA,rest_nsw,28,2,10.748808582067948,48.48484848484848,-8.403361344537819,-2.7483905923517233
GRETA,rest_nsw,28,3,20.209059233449462,48.48484848484848,-8.403361344537819,2.0924417790654406
GRETA,rest_nsw,28,4,-5.797101449275366,48.48484848484848,-8.403361344537819,2.8063259990079055
GRETA,rest_nsw,32,1,7.692307692307687,-5.797101449275366,5.773469387755092,-3.1958203447411653
GRETA,rest_nsw,32,2,7.857142857142851,-5.797101449275366,5.773469387755092,1.5632094036523254
GRETA,rest_nsw,32,3,-11.153046357615892,-5.797101449275366,5.773469387755092,0.4478486641995293
GRETA,rest_nsw,32,4,-10.740174524388612,-5.797101449275366,5.773469387755092,-0.11290567059547855
GRETA,rest_nsw,36,1,1.043841336116902,-10.740174524388612,7.692307692307687,-0.8436940949155033
GRETA,rest_nsw,36,2,1.6528925619834656,-10.740174524388612,7.692307692307687,0.6355516688758326
